carat - קראט,cut - חיתוך,color - צבע,clarity - שקיפות / דרגת ניקיון,depth - עומק באחוזים,table - משטח עליון באחוזים,x - אורך מ''מ,y - רוחב מ''מ,z - גובה מ''מ,price - מחיר בדולרים,מחיר לקרט
0.31,Very Good,J,SI1,58.1,62.0,4.44,4.47,2.59,353,1138.7096774193549
0.23,Very Good,G,VVS2,60.4,58.0,3.97,4.01,2.41,354,1539.1304347826085
0.24,Premium,I,VS1,62.5,57.0,3.97,3.94,2.47,355,1479.1666666666667
0.3,Very Good,J,VS2,62.2,57.0,4.28,4.3,2.67,357,1190.0
0.23,Very Good,D,VS2,60.5,61.0,3.96,3.97,2.4,357,1552.1739130434783
0.23,Very Good,F,VS1,60.9,57.0,3.96,3.99,2.42,357,1552.1739130434783
0.23,Very Good,F,VS1,60.0,57.0,4.0,4.03,2.41,402,1747.8260869565217
0.23,Very Good,F,VS1,59.8,57.0,4.04,4.06,2.42,402,1747.8260869565217
0.23,Very Good,E,VS1,60.7,59.0,3.97,4.01,2.42,402,1747.8260869565217
0.23,Very Good,E,VS1,59.5,58.0,4.01,4.06,2.4,402,1747.8260869565217
0.23,Very Good,D,VS1,61.9,58.0,3.92,3.96,2.44,402,1747.8260869565217
0.23,Good,F,VS1,58.2,59.0,4.06,4.08,2.37,402,1747.8260869565217
0.23,Good,E,VS1,64.1,59.0,3.83,3.85,2.46,402,1747.8260869565217
0.31,Good,H,SI1,64.0,54.0,4.29,4.31,2.75,402,1296.774193548387
0.26,Very Good,D,VS2,60.8,59.0,4.13,4.16,2.52,403,1550.0
0.33,Ideal,I,SI2,61.8,55.0,4.49,4.51,2.78,403,1221.2121212121212
0.33,Ideal,I,SI2,61.2,56.0,4.49,4.5,2.75,403,1221.2121212121212
0.33,Ideal,J,SI1,61.1,56.0,4.49,4.55,2.76,403,1221.2121212121212
0.26,Good,D,VS2,65.2,56.0,3.99,4.02,2.61,403,1550.0
0.26,Good,D,VS1,58.4,63.0,4.19,4.24,2.46,403,1550.0
0.32,Good,H,SI2,63.1,56.0,4.34,4.37,2.75,403,1259.375
0.29,Premium,F,SI1,62.4,58.0,4.24,4.26,2.65,403,1389.6551724137933
0.32,Very Good,H,SI2,61.8,55.0,4.35,4.42,2.71,403,1259.375
0.32,Good,H,SI2,63.8,56.0,4.36,4.38,2.79,403,1259.375
0.25,Very Good,E,VS2,63.3,60.0,4.0,4.03,2.54,404,1616.0
0.29,Very Good,H,SI2,60.7,60.0,4.33,4.37,2.64,404,1393.103448275862
0.24,Very Good,F,SI1,60.9,61.0,4.02,4.03,2.45,404,1683.3333333333335
0.23,Ideal,G,VS1,61.9,54.0,3.93,3.95,2.44,404,1756.5217391304348
0.32,Ideal,I,SI1,60.9,55.0,4.45,4.48,2.72,404,1262.5
0.22,Premium,E,VS2,61.6,58.0,3.93,3.89,2.41,404,1836.3636363636363
0.22,Premium,D,VS2,59.3,62.0,3.91,3.88,2.31,404,1836.3636363636363
0.3,Ideal,I,SI2,61.0,59.0,4.3,4.33,2.63,405,1350.0
0.3,Premium,J,SI2,59.3,61.0,4.43,4.38,2.61,405,1350.0
0.3,Very Good,I,SI1,62.6,57.0,4.25,4.28,2.67,405,1350.0
0.3,Very Good,I,SI1,63.0,57.0,4.28,4.32,2.71,405,1350.0
0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,405,1350.0
0.35,Ideal,I,VS1,60.9,57.0,4.54,4.59,2.78,552,1577.1428571428573
0.3,Premium,D,SI1,62.6,59.0,4.23,4.27,2.66,552,1840.0
0.3,Ideal,D,SI1,62.5,57.0,4.29,4.32,2.69,552,1840.0
0.3,Ideal,D,SI1,62.1,56.0,4.3,4.33,2.68,552,1840.0
0.42,Premium,I,SI2,61.5,59.0,4.78,4.84,2.96,552,1314.2857142857142
0.28,Ideal,G,VVS2,61.4,56.0,4.19,4.22,2.58,553,1974.9999999999998
0.32,Ideal,I,VVS1,62.0,55.3,4.39,4.42,2.73,553,1728.125
0.31,Very Good,G,SI1,63.3,57.0,4.33,4.3,2.73,553,1783.8709677419356
0.31,Premium,G,SI1,61.8,58.0,4.35,4.32,2.68,553,1783.8709677419356
0.24,Premium,E,VVS1,60.7,58.0,4.01,4.03,2.44,553,2304.166666666667
0.24,Very Good,D,VVS1,61.5,60.0,3.97,4.0,2.45,553,2304.166666666667
0.3,Very Good,H,SI1,63.1,56.0,4.29,4.27,2.7,554,1846.6666666666667
0.3,Premium,H,SI1,62.9,59.0,4.28,4.24,2.68,554,1846.6666666666667
0.3,Premium,H,SI1,62.5,57.0,4.29,4.25,2.67,554,1846.6666666666667
0.3,Good,H,SI1,63.7,57.0,4.28,4.26,2.72,554,1846.6666666666667
0.26,Very Good,F,VVS2,59.2,60.0,4.19,4.22,2.49,554,2130.7692307692305
0.26,Very Good,E,VVS2,59.9,58.0,4.15,4.23,2.51,554,2130.7692307692305
0.26,Very Good,D,VVS2,62.4,54.0,4.08,4.13,2.56,554,2130.7692307692305
0.26,Very Good,D,VVS2,62.8,60.0,4.01,4.05,2.53,554,2130.7692307692305
0.26,Very Good,E,VVS1,62.6,59.0,4.06,4.09,2.55,554,2130.7692307692305
0.26,Very Good,E,VVS1,63.4,59.0,4.0,4.04,2.55,554,2130.7692307692305
0.26,Very Good,D,VVS1,62.1,60.0,4.03,4.12,2.53,554,2130.7692307692305
0.26,Ideal,E,VVS2,62.9,58.0,4.02,4.06,2.54,554,2130.7692307692305
0.38,Ideal,I,SI2,61.6,56.0,4.65,4.67,2.87,554,1457.8947368421052
0.26,Good,E,VVS1,57.9,60.0,4.22,4.25,2.45,554,2130.7692307692305
0.24,Premium,G,VVS1,62.3,59.0,3.95,3.92,2.45,554,2308.3333333333335
0.24,Premium,H,VVS1,61.2,58.0,4.01,3.96,2.44,554,2308.3333333333335
0.24,Premium,H,VVS1,60.8,59.0,4.02,4.0,2.44,554,2308.3333333333335
0.24,Premium,H,VVS2,60.7,58.0,4.07,4.04,2.46,554,2308.3333333333335
0.32,Premium,I,SI1,62.9,58.0,4.35,4.33,2.73,554,1731.25
0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57,2757,3938.571428571429
0.86,Fair,E,SI2,55.1,69.0,6.45,6.33,3.52,2757,3205.813953488372
0.7,Ideal,G,VS2,61.6,56.0,5.7,5.67,3.5,2757,3938.571428571429
0.71,Very Good,E,VS2,62.4,57.0,5.68,5.73,3.56,2759,3885.9154929577467
0.78,Very Good,G,SI2,63.8,56.0,5.81,5.85,3.72,2759,3537.179487179487
0.7,Good,E,VS2,57.5,58.0,5.85,5.9,3.38,2759,3941.4285714285716
0.7,Good,F,VS1,59.4,62.0,5.71,5.76,3.4,2759,3941.4285714285716
0.96,Fair,F,SI2,66.3,62.0,6.27,5.95,4.07,2759,2873.9583333333335
0.73,Very Good,E,SI1,61.6,59.0,5.77,5.78,3.56,2760,3780.8219178082195
0.8,Premium,H,SI1,61.5,58.0,5.97,5.93,3.66,2760,3450.0
0.75,Very Good,D,SI1,63.2,56.0,5.8,5.75,3.65,2760,3680.0
0.75,Premium,E,SI1,59.9,54.0,6.0,5.96,3.58,2760,3680.0
0.74,Ideal,G,SI1,61.6,55.0,5.8,5.85,3.59,2760,3729.7297297297296
0.75,Premium,G,VS2,61.7,58.0,5.85,5.79,3.59,2760,3680.0
0.8,Ideal,I,VS1,62.9,56.0,5.94,5.87,3.72,2760,3450.0
0.75,Ideal,G,SI1,62.2,55.0,5.87,5.8,3.63,2760,3680.0
0.8,Premium,G,SI1,63.0,59.0,5.9,5.81,3.69,2760,3450.0
0.74,Ideal,I,VVS2,62.3,55.0,5.77,5.81,3.61,2761,3731.0810810810813
0.81,Ideal,F,SI2,58.8,57.0,6.14,6.11,3.6,2761,3408.6419753086416
0.59,Ideal,E,VVS2,62.0,55.0,5.38,5.43,3.35,2761,4679.661016949153
0.8,Ideal,F,SI2,61.4,57.0,5.96,6.0,3.67,2761,3451.25
0.74,Ideal,E,SI2,62.2,56.0,5.8,5.84,3.62,2761,3731.0810810810813
0.9,Premium,I,VS2,63.0,58.0,6.16,6.12,3.87,2761,3067.777777777778
0.74,Very Good,G,SI1,62.2,59.0,5.73,5.82,3.59,2762,3732.4324324324325
0.73,Ideal,F,VS2,62.6,56.0,5.77,5.74,3.6,2762,3783.5616438356165
0.73,Ideal,F,VS2,62.7,53.0,5.8,5.75,3.62,2762,3783.5616438356165
0.8,Premium,F,SI2,61.7,58.0,5.98,5.94,3.68,2762,3452.5
0.71,Ideal,G,VS2,62.4,54.0,5.72,5.76,3.58,2762,3890.1408450704225
0.7,Ideal,E,VS2,60.7,58.0,5.73,5.76,3.49,2762,3945.714285714286
0.8,Ideal,F,SI2,59.9,59.0,6.01,6.07,3.62,2762,3452.5
0.71,Ideal,D,SI2,62.3,56.0,5.73,5.69,3.56,2762,3890.1408450704225
0.74,Ideal,E,SI1,62.3,54.0,5.8,5.83,3.62,2762,3732.4324324324325
0.7,Very Good,F,VS2,61.7,63.0,5.64,5.61,3.47,2762,3945.714285714286
0.7,Fair,F,VS2,64.5,57.0,5.57,5.53,3.58,2762,3945.714285714286
0.7,Fair,F,VS2,65.3,55.0,5.63,5.58,3.66,2762,3945.714285714286
0.7,Premium,F,VS2,61.6,60.0,5.65,5.59,3.46,2762,3945.714285714286
0.91,Premium,H,SI1,61.4,56.0,6.09,5.97,3.7,2763,3036.263736263736
0.61,Very Good,D,VVS2,59.6,57.0,5.56,5.58,3.32,2763,4529.508196721312
0.91,Fair,H,SI2,64.4,57.0,6.11,6.09,3.93,2763,3036.263736263736
0.91,Fair,H,SI2,65.7,60.0,6.03,5.99,3.95,2763,3036.263736263736
0.77,Ideal,H,VS2,62.0,56.0,5.89,5.86,3.64,2763,3588.311688311688
0.71,Very Good,D,SI1,63.6,58.0,5.64,5.68,3.6,2764,3892.9577464788736
0.71,Ideal,D,SI1,61.9,59.0,5.69,5.72,3.53,2764,3892.9577464788736
0.7,Very Good,E,VS2,62.6,60.0,5.62,5.65,3.53,2765,3950.0000000000005
0.77,Very Good,H,VS1,61.3,60.0,5.88,5.9,3.61,2765,3590.909090909091
0.63,Premium,E,VVS1,60.9,60.0,5.52,5.55,3.37,2765,4388.888888888889
0.71,Very Good,F,VS1,60.1,62.0,5.74,5.77,3.46,2765,3894.366197183099
0.71,Premium,F,VS1,61.8,59.0,5.69,5.73,3.53,2765,3894.366197183099
0.76,Ideal,H,SI1,61.2,57.0,5.88,5.91,3.61,2765,3638.157894736842
0.64,Ideal,G,VVS1,61.9,56.0,5.53,5.56,3.43,2766,4321.875
0.71,Premium,G,VS2,60.9,57.0,5.78,5.75,3.51,2766,3895.774647887324
0.71,Premium,G,VS2,59.8,56.0,5.89,5.81,3.5,2766,3895.774647887324
0.7,Very Good,D,VS2,61.8,55.0,5.68,5.72,3.52,2767,3952.857142857143
0.7,Very Good,F,VS1,60.0,57.0,5.8,5.87,3.5,2767,3952.857142857143
0.71,Ideal,D,SI2,61.6,55.0,5.74,5.76,3.54,2767,3897.1830985915494
0.7,Good,H,VVS2,62.1,64.0,5.62,5.65,3.5,2767,3952.857142857143
0.71,Very Good,G,VS1,63.3,59.0,5.52,5.61,3.52,2768,3898.5915492957747
0.73,Very Good,D,SI1,60.2,56.0,5.83,5.87,3.52,2768,3791.780821917808
0.7,Very Good,D,SI1,61.1,58.0,5.66,5.73,3.48,2768,3954.2857142857147
0.7,Ideal,E,SI1,60.9,57.0,5.73,5.76,3.5,2768,3954.2857142857147
0.71,Premium,D,SI2,61.7,59.0,5.71,5.67,3.51,2768,3898.5915492957747
0.74,Ideal,I,SI1,61.3,56.0,5.82,5.86,3.57,2769,3741.891891891892
0.71,Premium,D,VS2,62.5,60.0,5.65,5.61,3.52,2770,3901.4084507042257
0.73,Premium,G,VS2,61.4,59.0,5.83,5.76,3.56,2770,3794.5205479452056
0.76,Very Good,F,SI1,62.9,57.0,5.79,5.81,3.65,2770,3644.736842105263
0.76,Ideal,D,SI2,62.4,57.0,5.78,5.83,3.62,2770,3644.736842105263
0.71,Ideal,F,SI1,60.7,56.0,5.77,5.8,3.51,2770,3901.4084507042257
0.73,Premium,G,VS2,60.7,58.0,5.87,5.82,3.55,2770,3794.5205479452056
0.73,Premium,G,VS1,61.5,58.0,5.79,5.75,3.55,2770,3794.5205479452056
0.73,Ideal,D,SI2,59.9,57.0,5.92,5.89,3.54,2770,3794.5205479452056
0.73,Premium,G,VS2,59.2,59.0,5.92,5.87,3.49,2770,3794.5205479452056
0.72,Very Good,H,VVS2,60.3,56.0,5.81,5.83,3.51,2771,3848.6111111111113
0.73,Very Good,F,SI1,61.7,60.0,5.79,5.82,3.58,2771,3795.8904109589043
0.71,Ideal,G,VS2,61.9,57.0,5.73,5.77,3.56,2771,3902.816901408451
0.79,Ideal,F,SI2,61.9,55.0,5.97,5.92,3.68,2771,3507.5949367088606
0.73,Very Good,H,VVS1,60.4,59.0,5.83,5.89,3.54,2772,3797.260273972603
0.8,Very Good,F,SI2,61.0,57.0,6.01,6.03,3.67,2772,3465.0
0.58,Ideal,G,VVS1,61.5,55.0,5.39,5.44,3.33,2772,4779.310344827587
0.58,Ideal,F,VVS1,61.7,56.0,5.33,5.37,3.3,2772,4779.310344827587
0.71,Good,E,VS2,59.2,61.0,5.8,5.88,3.46,2772,3904.2253521126763
0.75,Ideal,D,SI2,61.3,56.0,5.85,5.89,3.6,2773,3697.3333333333335
0.7,Premium,D,VS2,58.0,62.0,5.87,5.78,3.38,2773,3961.4285714285716
1.17,Very Good,J,I1,60.2,61.0,6.83,6.9,4.13,2774,2370.940170940171
0.6,Ideal,E,VS1,61.7,55.0,5.41,5.44,3.35,2774,4623.333333333334
0.7,Ideal,E,SI1,62.7,55.0,5.68,5.74,3.58,2774,3962.857142857143
0.83,Good,I,VS2,64.6,54.0,5.85,5.88,3.79,2774,3342.1686746987953
0.74,Very Good,F,VS2,61.3,61.0,5.8,5.84,3.57,2775,3750.0
0.72,Very Good,G,VS2,63.7,56.4,5.62,5.69,3.61,2776,3855.5555555555557
0.71,Premium,E,VS2,62.7,58.0,5.74,5.68,3.58,2776,3909.8591549295775
0.71,Ideal,E,VS2,62.2,57.0,5.79,5.62,3.55,2776,3909.8591549295775
0.54,Ideal,E,VVS2,61.6,56.0,5.25,5.27,3.24,2776,5140.74074074074
0.54,Ideal,E,VVS2,61.5,57.0,5.24,5.26,3.23,2776,5140.74074074074
0.72,Ideal,G,SI1,61.8,56.0,5.72,5.75,3.55,2776,3855.5555555555557
0.72,Ideal,G,SI1,60.7,56.0,5.79,5.82,3.53,2776,3855.5555555555557
0.72,Good,G,VS2,59.7,60.5,5.8,5.84,3.47,2776,3855.5555555555557
0.71,Ideal,G,SI1,60.5,56.0,5.8,5.76,3.5,2776,3909.8591549295775
0.7,Very Good,D,VS1,62.7,58.0,5.66,5.73,3.57,2777,3967.1428571428573
0.71,Premium,F,VS2,62.1,58.0,5.67,5.7,3.53,2777,3911.267605633803
0.71,Very Good,F,VS2,62.8,57.0,5.64,5.69,3.56,2777,3911.267605633803
0.71,Good,F,VS2,63.8,58.0,5.61,5.64,3.59,2777,3911.267605633803
0.71,Good,F,VS2,57.8,60.0,5.87,5.9,3.4,2777,3911.267605633803
0.7,Ideal,E,VS2,62.1,55.0,5.7,5.67,3.53,2777,3967.1428571428573
0.7,Premium,E,VS2,61.1,60.0,5.71,5.64,3.47,2777,3967.1428571428573
0.7,Premium,E,SI1,60.0,59.0,5.79,5.75,3.46,2777,3967.1428571428573
0.7,Premium,E,SI1,61.2,57.0,5.73,5.68,3.49,2777,3967.1428571428573
0.7,Premium,E,SI1,62.7,59.0,5.67,5.63,3.54,2777,3967.1428571428573
0.7,Premium,E,SI1,61.0,57.0,5.73,5.68,3.48,2777,3967.1428571428573
0.7,Premium,E,SI1,61.0,58.0,5.78,5.72,3.51,2777,3967.1428571428573
0.7,Ideal,E,SI1,61.4,57.0,5.76,5.7,3.52,2777,3967.1428571428573
0.72,Premium,F,SI1,61.8,61.0,5.82,5.71,3.56,2777,3856.944444444445
0.7,Very Good,E,SI1,59.9,63.0,5.76,5.7,3.43,2777,3967.1428571428573
0.7,Premium,E,SI1,61.3,58.0,5.71,5.68,3.49,2777,3967.1428571428573
0.7,Premium,E,SI1,60.5,58.0,5.77,5.74,3.48,2777,3967.1428571428573
0.7,Good,E,VS2,64.1,59.0,5.64,5.59,3.6,2777,3967.1428571428573
0.98,Fair,H,SI2,67.9,60.0,6.05,5.97,4.08,2777,2833.673469387755
0.78,Premium,F,SI1,62.4,58.0,5.83,5.8,3.63,2777,3560.25641025641
0.7,Very Good,E,SI1,63.2,60.0,5.6,5.51,3.51,2777,3967.1428571428573
0.52,Ideal,F,VVS1,61.3,55.0,5.19,5.22,3.19,2778,5342.307692307692
0.73,Very Good,H,VS2,60.8,56.0,5.82,5.84,3.55,2779,3806.849315068493
0.74,Ideal,E,SI1,61.7,56.0,5.84,5.8,3.59,2779,3755.4054054054054
0.7,Very Good,F,VS2,63.6,57.0,5.61,5.65,3.58,2780,3971.4285714285716
0.77,Premium,G,VS2,61.2,58.0,5.9,5.93,3.62,2780,3610.3896103896104
0.71,Ideal,F,VS2,62.1,54.0,5.68,5.72,3.54,2780,3915.492957746479
0.74,Ideal,G,VS1,61.5,55.0,5.81,5.86,3.59,2780,3756.7567567567567
0.7,Ideal,G,VS1,61.4,59.0,5.64,5.73,3.49,2780,3971.4285714285716
1.01,Premium,F,I1,61.8,60.0,6.39,6.36,3.94,2781,2753.4653465346532
0.77,Ideal,H,SI1,62.2,56.0,5.83,5.88,3.64,2781,3611.6883116883114
0.78,Ideal,H,SI1,61.2,56.0,5.92,5.99,3.64,2781,3565.3846153846152
0.72,Very Good,H,VS1,60.6,63.0,5.83,5.76,3.51,2782,3863.888888888889
0.53,Very Good,D,VVS2,57.5,64.0,5.34,5.37,3.08,2782,5249.056603773584
0.76,Ideal,G,VS2,61.3,56.0,5.9,5.94,3.63,2782,3660.5263157894738
0.7,Good,E,VS1,57.2,62.0,5.81,5.77,3.31,2782,3974.2857142857147
0.7,Premium,E,VS1,62.9,60.0,5.62,5.54,3.51,2782,3974.2857142857147
0.75,Very Good,D,SI2,63.1,58.0,5.78,5.73,3.63,2782,3709.3333333333335
0.72,Ideal,D,SI1,60.8,57.0,5.76,5.75,3.5,2782,3863.888888888889
0.72,Premium,D,SI1,62.7,59.0,5.73,5.69,3.58,2782,3863.888888888889
0.7,Premium,D,SI1,62.8,60.0,5.68,5.66,3.56,2782,3974.2857142857147
0.84,Fair,G,SI1,55.1,67.0,6.39,6.2,3.47,2782,3311.904761904762
0.75,Premium,F,SI1,61.4,59.0,5.88,5.85,3.6,2782,3709.3333333333335
0.52,Ideal,F,IF,62.2,55.0,5.14,5.18,3.21,2783,5351.923076923077
0.72,Very Good,F,VS2,63.0,54.0,5.69,5.73,3.6,2784,3866.666666666667
0.79,Very Good,H,VS1,63.7,56.0,5.85,5.92,3.75,2784,3524.0506329113923
0.72,Very Good,F,VS2,63.6,58.0,5.66,5.69,3.61,2787,3870.8333333333335
0.51,Ideal,F,VVS1,62.0,57.0,5.11,5.15,3.18,2787,5464.705882352941
0.64,Ideal,D,VS1,61.5,56.0,5.54,5.55,3.41,2787,4354.6875
0.7,Very Good,H,VVS1,60.5,60.0,5.74,5.77,3.48,2788,3982.857142857143
0.83,Very Good,I,VS1,61.1,60.0,6.07,6.1,3.72,2788,3359.0361445783133
0.76,Ideal,I,VVS2,61.8,56.0,5.85,5.87,3.62,2788,3668.4210526315787
0.71,Good,D,VS2,63.3,56.0,5.64,5.68,3.58,2788,3926.760563380282
0.77,Good,G,VS1,59.4,64.0,5.97,5.92,3.53,2788,3620.779220779221
0.71,Ideal,F,SI1,62.5,55.0,5.71,5.65,3.55,2788,3926.760563380282
1.01,Fair,E,I1,64.5,58.0,6.29,6.21,4.03,2788,2760.39603960396
1.01,Premium,H,SI2,62.7,59.0,6.31,6.22,3.93,2788,2760.39603960396
0.77,Good,F,SI1,64.2,52.0,5.81,5.77,3.72,2789,3622.077922077922
0.76,Good,E,SI1,63.7,54.0,5.76,5.85,3.7,2789,3669.736842105263
0.76,Premium,E,SI1,60.4,58.0,5.92,5.94,3.58,2789,3669.736842105263
0.76,Premium,E,SI1,61.8,58.0,5.82,5.86,3.61,2789,3669.736842105263
1.05,Very Good,J,SI2,63.2,56.0,6.49,6.45,4.09,2789,2656.190476190476
0.81,Ideal,G,SI2,61.6,56.0,5.97,6.01,3.69,2789,3443.2098765432097
0.7,Ideal,E,SI1,61.6,56.0,5.72,5.75,3.53,2789,3984.2857142857147
0.55,Ideal,G,IF,60.9,57.0,5.28,5.3,3.22,2789,5070.90909090909
0.81,Good,G,SI2,61.0,61.0,5.94,5.99,3.64,2789,3443.2098765432097
0.63,Premium,E,VVS2,62.1,57.0,5.48,5.41,3.38,2789,4426.984126984127
0.63,Premium,E,VVS1,60.9,60.0,5.55,5.52,3.37,2789,4426.984126984127
0.77,Premium,H,VS1,61.3,60.0,5.9,5.88,3.61,2789,3622.077922077922
1.05,Fair,J,SI2,65.8,59.0,6.41,6.27,4.18,2789,2656.190476190476
0.64,Ideal,G,IF,61.3,56.0,5.54,5.58,3.41,2790,4359.375
0.76,Premium,I,VVS1,58.8,59.0,6.0,5.94,3.51,2790,3671.0526315789475
0.83,Ideal,F,SI2,62.3,55.0,6.02,6.05,3.76,2790,3361.4457831325303
0.71,Premium,F,VS1,60.1,62.0,5.77,5.74,3.46,2790,3929.5774647887324
0.71,Premium,F,VS1,61.8,59.0,5.73,5.69,3.53,2790,3929.5774647887324
0.87,Very Good,I,SI1,63.6,55.8,6.07,6.1,3.87,2791,3208.0459770114944
0.73,Ideal,E,SI1,62.2,56.0,5.74,5.78,3.58,2791,3823.2876712328766
0.71,Premium,E,SI1,59.2,59.0,5.83,5.86,3.46,2792,3932.3943661971834
0.71,Premium,E,SI1,61.8,59.0,5.7,5.75,3.54,2792,3932.3943661971834
0.71,Ideal,E,SI1,61.3,55.0,5.72,5.77,3.52,2792,3932.3943661971834
0.7,Premium,F,VS1,62.1,60.0,5.71,5.65,3.53,2792,3988.571428571429
0.7,Premium,F,VS1,60.7,60.0,5.78,5.75,3.5,2792,3988.571428571429
0.76,Premium,H,VVS2,59.6,57.0,5.91,5.86,3.51,2792,3673.684210526316
0.7,Ideal,F,VS1,62.2,56.0,5.73,5.68,3.55,2792,3988.571428571429
0.79,Very Good,G,SI1,60.6,57.0,5.98,6.06,3.65,2793,3535.443037974683
0.7,Very Good,E,VS2,62.9,57.0,5.66,5.69,3.57,2793,3990.0000000000005
0.7,Good,E,VS2,64.1,55.0,5.6,5.66,3.61,2793,3990.0000000000005
0.76,Ideal,I,VS2,61.3,56.0,5.87,5.91,3.61,2793,3675.0
0.73,Ideal,H,VS2,62.7,55.0,5.72,5.76,3.6,2793,3826.027397260274
0.79,Very Good,E,SI1,63.2,56.0,5.91,5.86,3.72,2794,3536.7088607594933
0.71,Very Good,E,VS2,60.7,56.0,5.81,5.82,3.53,2795,3936.6197183098593
0.81,Premium,I,VVS2,61.9,60.0,5.91,5.86,3.64,2795,3450.617283950617
0.81,Ideal,F,SI2,62.6,55.0,5.92,5.96,3.72,2795,3450.617283950617
0.72,Good,F,VS1,60.7,60.0,5.74,5.72,3.48,2795,3881.944444444445
0.72,Premium,D,SI2,62.0,60.0,5.73,5.69,3.54,2795,3881.944444444445
0.72,Premium,I,IF,63.0,57.0,5.72,5.7,3.6,2795,3881.944444444445
0.81,Premium,H,VS2,58.0,59.0,6.17,6.13,3.57,2795,3450.617283950617
0.72,Premium,G,VS2,62.9,57.0,5.73,5.65,3.58,2795,3881.944444444445
1.0,Premium,I,SI2,58.2,60.0,6.61,6.55,3.83,2795,2795.0
0.73,Good,E,SI1,63.2,58.0,5.7,5.76,3.62,2796,3830.13698630137
0.81,Very Good,H,SI2,61.3,59.0,5.94,6.01,3.66,2797,3453.0864197530864
0.81,Very Good,E,SI1,60.3,60.0,6.07,6.1,3.67,2797,3453.0864197530864
0.71,Premium,D,SI1,62.7,60.0,5.67,5.71,3.57,2797,3939.43661971831
0.71,Premium,D,SI1,61.3,58.0,5.73,5.75,3.52,2797,3939.43661971831
0.71,Premium,D,SI1,61.6,60.0,5.74,5.69,3.52,2797,3939.43661971831
0.57,Ideal,F,VVS2,61.9,55.0,5.34,5.35,3.31,2797,4907.01754385965
0.51,Ideal,D,VVS1,61.7,56.0,5.12,5.16,3.17,2797,5484.313725490196
0.72,Ideal,G,VS2,61.9,58.0,5.72,5.75,3.55,2797,3884.722222222222
0.74,Ideal,H,VS1,61.8,58.0,5.77,5.81,3.58,2797,3779.7297297297296
0.74,Ideal,H,VS1,61.6,56.0,5.81,5.82,3.58,2797,3779.7297297297296
0.7,Fair,G,VVS1,58.8,66.0,5.81,5.9,3.44,2797,3995.714285714286
0.8,Premium,F,SI2,61.0,57.0,6.03,6.01,3.67,2797,3496.25
1.01,Fair,E,SI2,67.4,60.0,6.19,6.05,4.13,2797,2769.3069306930693
0.8,Very Good,H,VS2,63.4,60.0,5.92,5.82,3.72,2797,3496.25
0.77,Ideal,I,VS1,61.5,59.0,5.87,5.91,3.62,2798,3633.7662337662337
0.83,Very Good,E,SI2,58.0,62.0,6.19,6.25,3.61,2799,3372.289156626506
0.82,Ideal,F,SI2,62.4,54.0,5.97,6.02,3.74,2799,3413.4146341463415
